match_id,match_date,season,matchweek,matchweek_num,referee,home_team,away_team,home_goals,away_goals,goal_difference,home_xg,away_xg,home_non_penalty_xg,away_non_penalty_xg,home_xg_against,away_xg_against,home_post_shot_xg,away_post_shot_xg,home_goals_minus_xg,away_goals_minus_xg,home_post_shot_xg_diff,away_post_shot_xg_diff,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_avg_shot_distance,away_avg_shot_distance,home_shots_on_target_against,away_shots_on_target_against,home_saves,away_saves,home_clean_sheets,away_clean_sheets,home_possession,away_possession,home_free_kicks,away_free_kicks,home_penalties_scored,away_penalties_scored,home_penalties_attempted,away_penalties_attempted,home_passes_completed,away_passes_completed,home_passes_attempted,away_passes_attempted,home_total_distance_progressed,away_total_distance_progressed,home_progressive_distance,away_progressive_distance,home_progressive_carries,away_progressive_carries,home_assists,away_assists,home_expected_assisted_goals,away_expected_assisted_goals,home_expected_assists,away_expected_assists,home_key_passes,away_key_passes,home_shot_creating_actions,away_shot_creating_actions,home_goal_creating_actions,away_goal_creating_actions,home_miscontrols,away_miscontrols,home_dispossessed,away_dispossessed,home_recoveries,away_recoveries,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_interceptions,away_interceptions,home_defensive_actions,away_defensive_actions,home_blocks,away_blocks,home_clearances,away_clearances,result,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result_numeric,shots_difference,shots_on_target_difference,possession_difference,xg_difference,npxg_difference,post_shot_xg_difference,saves_difference,clean_sheets_difference,home_shot_efficiency,away_shot_efficiency,home_shot_accuracy,away_shot_accuracy,b365_prob_home,b365_prob_draw,b365_prob_away,b365_prob_home_norm,b365_prob_draw_norm,b365_prob_away_norm,b365_prob_over25,b365_prob_under25,b365_prob_over25_norm,b365_prob_under25_norm,home_points,away_points,home_cum,away_cum,home_rank_proxy,away_rank_proxy,rank_difference,home_points_last5,home_goals_for_last5,home_goals_against_last5,home_goal_diff_last5,home_wins_last5,home_draws_last5,home_losses_last5,home_form_index,home_avg_shots_last5,home_avg_sot_last5,home_avg_xg_last5,home_avg_poss_last5,away_points_last5,away_goals_for_last5,away_goals_against_last5,away_goal_diff_last5,away_wins_last5,away_draws_last5,away_losses_last5,away_form_index,away_avg_shots_last5,away_avg_sot_last5,away_avg_xg_last5,away_avg_poss_last5
2021-08-13_brentford_arsenal,2021-08-13,2022,Matchweek 1,1,Michael Oliver,brentford,arsenal,2,0,2,1.2,1.3,1.2,1.3,1.3,1.2,0.4,1.0,0.8,-1.3,0.4,-1.0,8.0,22.0,3.0,4.0,12.1,19.0,4.0,3.0,4.0,1.0,1.0,0.0,36,64,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,34.0,8.0,4166.0,8683.0,1935.0,2519.0,9.0,21.0,1.0,0.0,0.8,1.1,0.5,1.4,6.0,19.0,13.0,43.0,1.0,0.0,16.0,24.0,5.0,9.0,216.0,520.0,20.0,9.0,12.0,3.0,9.0,7.0,29.0,16.0,11.0,6.0,22.0,15.0,H,12,8,2,5,0,0,0,0,1,-14.0,-1.0,-28,-0.10000000000000009,-0.10000000000000009,-0.6,3.0,1.0,0.25,0.0,0.375,0.18181818181818182,0.25,0.29411764705882354,0.5128205128205129,0.2365322868355333,0.2782732786300392,0.48519443453442734,0.47619047619047616,0.5813953488372093,0.450261780104712,0.549738219895288,3,0,3,0,1,11,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_burnley_brighton_and_hove_albion,2021-08-14,2022,Matchweek 1,1,David Coote,burnley,brighton and hove albion,1,2,-1,1.5,1.0,1.5,1.0,1.0,1.5,1.1,0.9,-0.5,1.0,-0.9,-0.1,14.0,14.0,3.0,6.0,16.2,14.9,6.0,3.0,4.0,2.0,0.0,0.0,37,63,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,26.0,3912.0,7882.0,1881.0,2323.0,16.0,19.0,1.0,2.0,1.0,0.9,0.7,1.0,9.0,10.0,23.0,23.0,2.0,4.0,10.0,10.0,10.0,12.0,209.0,454.0,16.0,16.0,12.0,9.0,10.0,6.0,26.0,22.0,10.0,7.0,14.0,30.0,A,10,7,7,6,2,1,0,0,-1,0.0,-3.0,-26,0.5,0.5,0.20000000000000007,2.0,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.3225806451612903,0.3225806451612903,0.4081632653061224,0.30625,0.30625,0.3875,0.4,0.6535947712418301,0.3796526054590571,0.6203473945409429,0,3,0,3,12,2,10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_chelsea_crystal_palace,2021-08-14,2022,Matchweek 1,1,Jonathan Moss,chelsea,crystal palace,3,0,3,0.7,0.2,0.7,0.2,0.2,0.7,0.2,1.7,2.3,-0.2,0.2,-1.3,13.0,4.0,6.0,1.0,21.0,10.8,1.0,6.0,1.0,3.0,1.0,0.0,62,38,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,11189.0,6499.0,3129.0,2103.0,12.0,8.0,1.0,0.0,0.2,0.2,1.1,0.3,6.0,4.0,26.0,8.0,6.0,0.0,10.0,17.0,5.0,14.0,645.0,385.0,21.0,11.0,9.0,7.0,11.0,9.0,32.0,20.0,7.0,5.0,9.0,26.0,H,15,11,5,2,0,0,0,0,1,9.0,5.0,24,0.49999999999999994,0.49999999999999994,-1.5,-2.0,1.0,0.23076923076923078,0.0,0.46153846153846156,0.25,0.8,0.17391304347826086,0.07692307692307693,0.7612985359643539,0.16549968173138127,0.0732017823042648,0.5555555555555556,0.5,0.5263157894736842,0.47368421052631576,3,0,3,0,3,13,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_everton_southampton,2021-08-14,2022,Matchweek 1,1,Andy Madley,everton,southampton,3,1,2,2.4,0.8,2.4,0.8,0.8,2.4,1.1,3.0,0.6,0.2,0.1,0.0,14.0,6.0,6.0,3.0,12.5,15.5,3.0,6.0,2.0,3.0,0.0,0.0,48,52,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,24.0,18.0,5114.0,4650.0,2053.0,1784.0,14.0,13.0,3.0,1.0,2.3,0.8,1.5,0.8,11.0,4.0,26.0,10.0,5.0,2.0,18.0,15.0,14.0,10.0,268.0,282.0,23.0,21.0,9.0,12.0,6.0,5.0,29.0,26.0,7.0,10.0,25.0,22.0,H,13,15,6,8,2,0,0,0,1,8.0,3.0,-4,1.5999999999999999,1.5999999999999999,-1.9,-1.0,0.0,0.21428571428571427,0.16666666666666666,0.42857142857142855,0.5,0.5263157894736842,0.2857142857142857,0.25,0.49557522123893805,0.26902654867256637,0.23539823008849559,0.5,0.5555555555555556,0.47368421052631576,0.5263157894736842,3,0,3,0,4,14,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_leicester_city_wolverhampton_wanderers,2021-08-14,2022,Matchweek 1,1,Craig Pawson,leicester city,wolverhampton wanderers,1,0,1,0.5,1.3,0.5,1.3,1.3,0.5,0.2,1.2,0.5,-1.3,0.2,0.2,9.0,17.0,5.0,3.0,17.1,17.9,3.0,5.0,3.0,4.0,1.0,0.0,56,44,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,5.0,8581.0,8088.0,2790.0,2756.0,19.0,24.0,1.0,0.0,0.5,1.1,0.9,0.8,8.0,12.0,17.0,28.0,2.0,0.0,18.0,16.0,7.0,4.0,531.0,395.0,15.0,20.0,11.0,10.0,11.0,13.0,26.0,33.0,7.0,19.0,17.0,16.0,H,6,10,5,4,1,2,0,0,1,-8.0,2.0,12,-0.8,-0.8,-1.0,-1.0,1.0,0.1111111111111111,0.0,0.5555555555555556,0.17647058823529413,0.6024096385542169,0.2631578947368421,0.19047619047619047,0.5704400537557545,0.24919223400909268,0.1803677122351528,0.47846889952153115,0.5434782608695652,0.4681933842239186,0.5318066157760813,3,0,3,0,5,15,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_manchester_united_leeds_united,2021-08-14,2022,Matchweek 1,1,Paul Tierney,manchester united,leeds united,5,1,4,1.5,0.5,1.5,0.5,0.5,1.5,1.0,1.6,3.5,0.5,0.0,-3.4,16.0,10.0,8.0,3.0,18.2,21.3,3.0,8.0,2.0,3.0,0.0,0.0,49,51,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,20.0,6148.0,6789.0,2591.0,2426.0,20.0,6.0,5.0,1.0,1.5,0.5,1.0,0.3,14.0,7.0,27.0,18.0,10.0,2.0,20.0,20.0,11.0,3.0,359.0,371.0,6.0,23.0,4.0,13.0,8.0,14.0,14.0,37.0,10.0,11.0,16.0,12.0,H,11,9,5,4,1,2,0,0,1,6.0,5.0,-2,1.0,1.0,-0.6000000000000001,-1.0,0.0,0.3125,0.1,0.5,0.3,0.6535947712418301,0.2222222222222222,0.17391304347826086,0.6226312939902545,0.21169463995668653,0.16567406605305904,0.6211180124223602,0.4347826086956522,0.588235294117647,0.411764705882353,3,0,3,0,6,16,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_norwich_city_liverpool,2021-08-14,2022,Matchweek 1,1,Andre Marriner,norwich city,liverpool,0,3,-3,1.4,1.6,1.4,1.6,1.6,1.4,1.2,1.1,-1.4,1.4,-1.8,1.1,14.0,19.0,3.0,6.0,17.1,17.3,6.0,3.0,3.0,3.0,0.0,1.0,50,50,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,17.0,9.0,7899.0,8091.0,2686.0,2818.0,16.0,25.0,0.0,2.0,1.7,1.4,0.8,1.7,11.0,13.0,22.0,32.0,0.0,5.0,15.0,15.0,8.0,6.0,464.0,455.0,19.0,16.0,13.0,8.0,9.0,5.0,28.0,21.0,11.0,8.0,36.0,17.0,A,4,14,3,11,1,1,0,0,-1,-5.0,-3.0,0,-0.20000000000000018,-0.20000000000000018,0.09999999999999987,0.0,-1.0,0.0,0.15789473684210525,0.21428571428571427,0.3157894736842105,0.1111111111111111,0.17391304347826086,0.7692307692307692,0.10539302079661615,0.16496298907296442,0.7296439901304195,0.6535947712418301,0.4,0.6203473945409429,0.3796526054590571,0,3,0,3,17,7,10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14_watford_aston_villa,2021-08-14,2022,Matchweek 1,1,Mike Dean,watford,aston villa,3,2,1,1.2,1.2,1.2,0.4,1.2,1.2,1.3,1.6,1.8,0.8,-0.7,-1.4,13.0,10.0,7.0,1.0,17.9,22.8,2.0,7.0,0.0,4.0,0.0,0.0,38,62,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,14.0,4.0,4923.0,8200.0,1992.0,2721.0,22.0,24.0,2.0,1.0,1.0,0.3,0.3,0.3,11.0,6.0,24.0,21.0,5.0,4.0,16.0,24.0,8.0,13.0,251.0,463.0,15.0,13.0,6.0,11.0,9.0,11.0,24.0,24.0,4.0,2.0,25.0,6.0,H,18,13,2,4,3,1,0,0,1,3.0,6.0,-24,0.0,0.7999999999999999,-0.30000000000000004,-4.0,0.0,0.23076923076923078,0.2,0.5384615384615384,0.1,0.3225806451612903,0.3125,0.42194092827004215,0.305178866041608,0.29564202647780774,0.39917910748058427,0.5,0.5555555555555556,0.47368421052631576,0.5263157894736842,3,0,3,0,8,18,-10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15_newcastle_united_west_ham_united,2021-08-15,2022,Matchweek 1,1,Martin Atkinson,newcastle united,west ham united,2,4,-2,1.8,2.7,1.8,2.0,2.7,1.8,3.2,1.5,0.2,1.3,-0.8,-0.5,17.0,17.0,3.0,7.0,16.3,17.1,8.0,3.0,3.0,1.0,0.0,0.0,46,54,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,17.0,6456.0,7072.0,2068.0,2261.0,23.0,29.0,2.0,3.0,1.5,1.8,1.4,1.2,12.0,12.0,27.0,31.0,3.0,7.0,15.0,16.0,14.0,4.0,357.0,429.0,8.0,23.0,5.0,14.0,9.0,7.0,17.0,30.0,4.0,7.0,25.0,21.0,A,4,3,7,6,1,0,0,0,-1,0.0,-4.0,-8,-0.9000000000000001,-0.19999999999999996,1.7000000000000002,2.0,0.0,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.4117647058823529,0.3125,0.2857142857142857,0.45454545454545453,0.2968388589051658,0.27139552814186585,0.4317656129529684,0.5025125628140703,0.5154639175257733,0.49363867684478374,0.5063613231552164,0,3,0,3,19,9,10,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15_tottenham_hotspur_manchester_city,2021-08-15,2022,Matchweek 1,1,Anthony Taylor,tottenham hotspur,manchester city,1,0,1,1.0,1.8,1.0,1.8,1.8,1.0,0.4,0.8,0.0,-1.8,0.4,-0.2,13.0,18.0,2.0,4.0,20.3,17.3,4.0,2.0,4.0,1.0,1.0,0.0,35,65,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,21.0,2.0,4254.0,7528.0,1812.0,2608.0,11.0,34.0,1.0,0.0,0.5,1.2,0.5,1.2,10.0,13.0,21.0,35.0,2.0,0.0,15.0,13.0,11.0,8.0,242.0,488.0,15.0,16.0,9.0,11.0,10.0,3.0,25.0,19.0,3.0,18.0,27.0,11.0,H,11,8,3,11,2,1,0,0,1,-5.0,-2.0,-30,-0.8,-0.8,-0.4,3.0,1.0,0.07692307692307693,0.0,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.23809523809523808,0.625,0.17400310719834286,0.22786121180735372,0.5981356809943036,0.5291005291005292,0.49019607843137253,0.5190839694656489,0.4809160305343511,3,0,3,0,10,20,-10,,,,,,,,,,,,,,,,,,,,,,,,
