match_date,home_team,away_team,home_goals,away_goals,home_shots_official,away_shots_official,home_sot_official,away_sot_official,B365H,B365D,B365A,PSH,PSD,PSA,competition,season_label,season,home_xg,home_xga,home_possession,home_shots_fbref,home_sot_fbref,home_avg_shot_distance,home_free_kicks,home_penalties_scored,home_penalties_attempted,home_formation,attendance,away_xg,away_xga,away_possession,away_shots_fbref,away_sot_fbref,away_avg_shot_distance,away_free_kicks,away_penalties_scored,away_penalties_attempted,away_formation,referee
2019-08-09,liverpool,norwich,4,1,15,12,7,5,1.14,10.0,19.0,1.15,9.59,18.05,Premier League,2019-2020,2020,,,,,,,,,,,,,,,,,,,,,,M Oliver
2019-08-10,tottenham hotspur,aston villa,3,1,31,7,7,4,1.3,5.25,10.0,1.3,5.84,10.96,Premier League,2019-2020,2020,2.4,0.7,70.0,31.0,6.0,18.6,2.0,0.0,0.0,4-3-1-2,60407.0,2.4,0.7,70.0,31.0,6.0,18.6,2.0,0.0,0.0,4-3-1-2,Chris Kavanagh
2019-08-10,tottenham hotspur,aston villa,3,1,31,7,7,4,1.3,5.25,10.0,1.3,5.84,10.96,Premier League,2019-2020,2020,2.4,0.7,70.0,31.0,6.0,18.6,2.0,0.0,0.0,4-3-1-2,60407.0,0.7,2.4,30.0,7.0,4.0,19.8,0.0,0.0,0.0,4-1-4-1,Chris Kavanagh
2019-08-10,tottenham hotspur,aston villa,3,1,31,7,7,4,1.3,5.25,10.0,1.3,5.84,10.96,Premier League,2019-2020,2020,0.7,2.4,30.0,7.0,4.0,19.8,0.0,0.0,0.0,4-1-4-1,60407.0,2.4,0.7,70.0,31.0,6.0,18.6,2.0,0.0,0.0,4-3-1-2,Chris Kavanagh
2019-08-10,tottenham hotspur,aston villa,3,1,31,7,7,4,1.3,5.25,10.0,1.3,5.84,10.96,Premier League,2019-2020,2020,0.7,2.4,30.0,7.0,4.0,19.8,0.0,0.0,0.0,4-1-4-1,60407.0,0.7,2.4,30.0,7.0,4.0,19.8,0.0,0.0,0.0,4-1-4-1,Chris Kavanagh
2019-08-10,watford,brighton and hove albion,0,3,11,5,3,3,1.9,3.4,4.0,1.98,3.44,4.37,Premier League,2019-2020,2020,0.7,0.8,49.0,11.0,3.0,21.4,2.0,0.0,0.0,4-2-2-2,20245.0,0.8,0.7,51.0,5.0,3.0,17.7,0.0,0.0,0.0,3-4-3,Craig Pawson
2019-08-10,watford,brighton and hove albion,0,3,11,5,3,3,1.9,3.4,4.0,1.98,3.44,4.37,Premier League,2019-2020,2020,0.8,0.7,51.0,5.0,3.0,17.7,0.0,0.0,0.0,3-4-3,20245.0,0.7,0.8,49.0,11.0,3.0,21.4,2.0,0.0,0.0,4-2-2-2,Craig Pawson
2019-08-10,watford,brighton and hove albion,0,3,11,5,3,3,1.9,3.4,4.0,1.98,3.44,4.37,Premier League,2019-2020,2020,0.8,0.7,51.0,5.0,3.0,17.7,0.0,0.0,0.0,3-4-3,20245.0,0.8,0.7,51.0,5.0,3.0,17.7,0.0,0.0,0.0,3-4-3,Craig Pawson
2019-08-10,crystal palace,everton,0,0,6,10,2,3,3.0,3.25,2.37,3.21,3.37,2.39,Premier League,2019-2020,2020,1.1,0.9,64.0,10.0,2.0,17.1,0.0,0.0,0.0,4-2-3-1,25151.0,1.1,0.9,64.0,10.0,2.0,17.1,0.0,0.0,0.0,4-2-3-1,Jonathan Moss
2019-08-10,crystal palace,everton,0,0,6,10,2,3,3.0,3.25,2.37,3.21,3.37,2.39,Premier League,2019-2020,2020,1.1,0.9,64.0,10.0,2.0,17.1,0.0,0.0,0.0,4-2-3-1,25151.0,0.9,1.1,36.0,6.0,2.0,11.7,0.0,0.0,0.0,4-4-2,Jonathan Moss
2019-08-10,crystal palace,everton,0,0,6,10,2,3,3.0,3.25,2.37,3.21,3.37,2.39,Premier League,2019-2020,2020,0.9,1.1,36.0,6.0,2.0,11.7,0.0,0.0,0.0,4-4-2,25151.0,1.1,0.9,64.0,10.0,2.0,17.1,0.0,0.0,0.0,4-2-3-1,Jonathan Moss
2019-08-10,watford,brighton and hove albion,0,3,11,5,3,3,1.9,3.4,4.0,1.98,3.44,4.37,Premier League,2019-2020,2020,0.7,0.8,49.0,11.0,3.0,21.4,2.0,0.0,0.0,4-2-2-2,20245.0,0.7,0.8,49.0,11.0,3.0,21.4,2.0,0.0,0.0,4-2-2-2,Craig Pawson
2019-08-10,burnley,southampton,3,0,10,11,4,3,2.62,3.2,2.75,2.71,3.31,2.81,Premier League,2019-2020,2020,1.2,0.9,53.0,11.0,3.0,18.7,1.0,0.0,0.0,3-4-3,19784.0,1.2,0.9,53.0,11.0,3.0,18.7,1.0,0.0,0.0,3-4-3,Graham Scott
2019-08-10,burnley,southampton,3,0,10,11,4,3,2.62,3.2,2.75,2.71,3.31,2.81,Premier League,2019-2020,2020,1.2,0.9,53.0,11.0,3.0,18.7,1.0,0.0,0.0,3-4-3,19784.0,0.9,1.2,47.0,10.0,4.0,15.0,0.0,0.0,0.0,4-4-2,Graham Scott
2019-08-10,burnley,southampton,3,0,10,11,4,3,2.62,3.2,2.75,2.71,3.31,2.81,Premier League,2019-2020,2020,0.9,1.2,47.0,10.0,4.0,15.0,0.0,0.0,0.0,4-4-2,19784.0,1.2,0.9,53.0,11.0,3.0,18.7,1.0,0.0,0.0,3-4-3,Graham Scott
2019-08-10,burnley,southampton,3,0,10,11,4,3,2.62,3.2,2.75,2.71,3.31,2.81,Premier League,2019-2020,2020,0.9,1.2,47.0,10.0,4.0,15.0,0.0,0.0,0.0,4-4-2,19784.0,0.9,1.2,47.0,10.0,4.0,15.0,0.0,0.0,0.0,4-4-2,Graham Scott
2019-08-10,bournemouth,sheffield united,1,1,13,8,3,3,1.95,3.6,3.6,2.04,3.57,3.9,Premier League,2019-2020,2020,1.3,1.3,47.0,8.0,3.0,19.0,0.0,0.0,0.0,3-5-2,10714.0,1.3,1.3,47.0,8.0,3.0,19.0,0.0,0.0,0.0,3-5-2,Kevin Friend
2019-08-10,bournemouth,sheffield united,1,1,13,8,3,3,1.95,3.6,3.6,2.04,3.57,3.9,Premier League,2019-2020,2020,1.3,1.3,47.0,8.0,3.0,19.0,0.0,0.0,0.0,3-5-2,10714.0,1.3,1.3,53.0,13.0,3.0,18.8,1.0,0.0,0.0,3-4-3,Kevin Friend
2019-08-10,bournemouth,sheffield united,1,1,13,8,3,3,1.95,3.6,3.6,2.04,3.57,3.9,Premier League,2019-2020,2020,1.3,1.3,53.0,13.0,3.0,18.8,1.0,0.0,0.0,3-4-3,10714.0,1.3,1.3,47.0,8.0,3.0,19.0,0.0,0.0,0.0,3-5-2,Kevin Friend
2019-08-10,bournemouth,sheffield united,1,1,13,8,3,3,1.95,3.6,3.6,2.04,3.57,3.9,Premier League,2019-2020,2020,1.3,1.3,53.0,13.0,3.0,18.8,1.0,0.0,0.0,3-4-3,10714.0,1.3,1.3,53.0,13.0,3.0,18.8,1.0,0.0,0.0,3-4-3,Kevin Friend
2019-08-10,west ham,manchester city,0,5,5,14,3,9,12.0,6.5,1.22,11.68,6.53,1.26,Premier League,2019-2020,2020,3.2,1.1,57.0,13.0,8.0,16.7,0.0,1.0,1.0,4-3-3,59870.0,3.2,1.1,57.0,13.0,8.0,16.7,0.0,1.0,1.0,4-3-3,Mike Dean
2019-08-10,crystal palace,everton,0,0,6,10,2,3,3.0,3.25,2.37,3.21,3.37,2.39,Premier League,2019-2020,2020,0.9,1.1,36.0,6.0,2.0,11.7,0.0,0.0,0.0,4-4-2,25151.0,0.9,1.1,36.0,6.0,2.0,11.7,0.0,0.0,0.0,4-4-2,Jonathan Moss
2019-08-11,manchester united,chelsea,4,0,11,18,5,7,2.1,3.3,3.5,2.21,3.37,3.63,Premier League,2019-2020,2020,2.2,1.0,46.0,10.0,4.0,17.6,0.0,1.0,1.0,4-2-3-1,73620.0,2.2,1.0,46.0,10.0,4.0,17.6,0.0,1.0,1.0,4-2-3-1,Anthony Taylor
2019-08-11,newcastle united,arsenal,0,1,9,8,2,2,4.5,3.75,1.72,4.58,3.93,1.81,Premier League,2019-2020,2020,0.4,1.1,38.0,9.0,2.0,21.9,0.0,0.0,0.0,3-5-2,47635.0,0.4,1.1,38.0,9.0,2.0,21.9,0.0,0.0,0.0,3-5-2,Martin Atkinson
2019-08-11,leicester,wolverhampton wanderers,0,0,15,8,1,2,2.2,3.2,3.4,2.21,3.34,3.66,Premier League,2019-2020,2020,,,,,,,,,,,,,,,,,,,,,,A Marriner
2019-08-17,everton,watford,1,0,12,8,2,2,1.72,3.8,4.75,1.76,3.95,4.87,Premier League,2019-2020,2020,1.2,0.7,56.0,8.0,2.0,17.1,0.0,0.0,0.0,4-2-2-2,39066.0,1.2,0.7,56.0,8.0,2.0,17.1,0.0,0.0,0.0,4-2-2-2,Lee Mason
2019-08-17,manchester city,tottenham hotspur,2,2,30,3,10,2,1.36,5.25,8.0,1.37,5.42,8.71,Premier League,2019-2020,2020,0.1,2.9,45.0,3.0,2.0,34.9,0.0,0.0,0.0,4-2-3-1,54503.0,0.1,2.9,45.0,3.0,2.0,34.9,0.0,0.0,0.0,4-2-3-1,Michael Oliver
2019-08-17,manchester city,tottenham hotspur,2,2,30,3,10,2,1.36,5.25,8.0,1.37,5.42,8.71,Premier League,2019-2020,2020,0.1,2.9,45.0,3.0,2.0,34.9,0.0,0.0,0.0,4-2-3-1,54503.0,2.9,0.1,55.0,30.0,10.0,15.4,0.0,0.0,0.0,4-2-3-1,Michael Oliver
2019-08-17,manchester city,tottenham hotspur,2,2,30,3,10,2,1.36,5.25,8.0,1.37,5.42,8.71,Premier League,2019-2020,2020,2.9,0.1,55.0,30.0,10.0,15.4,0.0,0.0,0.0,4-2-3-1,54503.0,0.1,2.9,45.0,3.0,2.0,34.9,0.0,0.0,0.0,4-2-3-1,Michael Oliver
